date,close,portfolio,monthly_return,signal_prev_month,leverage_prev_month,out_mode
1995-01-31,755.200000,10000.000000,,,,
1995-02-28,793.730000,10445.146941,0.044515,False,2.000000,bond2x_pos
1995-03-31,817.210000,10910.109462,0.044515,False,2.000000,bond2x_pos
1995-04-28,843.980000,11395.769648,0.044515,False,4.500000,bond2x_pos
1995-05-31,864.580000,11903.048848,0.044515,False,4.500000,bond2x_pos
1995-06-30,933.450000,12432.909427,0.044515,False,4.500000,bond2x_pos
1995-07-31,1001.210000,12986.356587,0.044515,False,4.351504,bond2x_pos
1995-08-31,1020.110000,13564.440278,0.044515,False,4.500000,bond2x_pos
1995-09-29,1043.540000,14168.257188,0.044515,False,4.475879,bond2x_pos
1995-10-31,1036.060000,14798.952823,0.044515,False,4.500000,bond2x_pos
1995-11-30,1059.200000,15457.723681,0.044515,False,4.500000,bond2x_pos
1995-12-29,1052.130000,16145.819523,0.044515,False,4.500000,bond2x_pos
1996-01-31,1059.790000,16145.819523,0.000000,False,4.500000,cash
1996-02-29,1100.050000,16145.819523,0.000000,False,4.500000,cash
1996-03-29,1101.400000,16126.000146,-0.001228,True,4.500000,ixic
1996-04-30,1190.520000,21888.922932,0.357368,True,4.500000,ixic
1996-05-31,1243.430000,24724.787473,0.129557,True,3.016971,ixic
1996-06-28,1185.020000,19331.395263,-0.218137,True,4.500000,ixic
1996-07-31,1080.590000,14774.945080,-0.235702,True,2.629867,ixic
1996-08-30,1141.500000,18422.924777,0.246903,True,4.500000,ixic
1996-09-30,1226.920000,21124.881118,0.146663,True,2.000000,ixic
1996-10-31,1221.510000,20563.120473,-0.026592,True,4.500000,ixic
1996-11-29,1292.610000,24100.960327,0.172048,True,3.033997,ixic
1996-12-31,1291.030000,23849.045468,-0.010452,True,3.839531,ixic
1997-01-31,1379.850000,30341.925825,0.272249,True,4.045439,ixic
1997-02-28,1309.000000,24836.414181,-0.181449,True,3.433532,ixic
1997-03-31,1221.700000,21447.307818,-0.136457,True,2.001069,ixic
1997-04-30,1260.760000,24388.233255,0.137123,True,4.500000,ixic
1997-05-30,1400.320000,30877.400244,0.266078,True,2.436718,ixic
1997-06-30,1442.070000,33547.404985,0.086471,True,3.053941,ixic
1997-07-31,1593.810000,43890.656233,0.308317,True,2.972487,ixic
1997-08-29,1587.320000,43110.963537,-0.017764,True,3.188159,ixic
1997-09-30,1685.690000,48845.594374,0.133020,True,2.199686,ixic
1997-10-31,1593.610000,38866.157700,-0.204306,True,3.640223,ixic
1997-11-28,1600.550000,39094.948351,0.005887,True,2.061944,ixic
1997-12-31,1570.350000,35848.985854,-0.083028,True,4.076275,ixic
1998-01-30,1619.360000,40641.751967,0.133693,True,4.500000,ixic
1998-02-27,1770.510000,57438.055234,0.413277,True,4.500000,ixic
1998-03-31,1835.680000,65285.795845,0.136630,True,3.869585,ixic
1998-04-30,1868.410000,69819.796760,0.069449,True,4.252842,ixic
1998-05-29,1778.870000,54291.598050,-0.222404,True,4.500000,ixic
1998-06-30,1894.740000,66924.108178,0.232679,True,3.656355,ixic
1998-07-31,1872.390000,65031.971012,-0.028273,True,2.126450,ixic
1998-08-31,1499.250000,24227.084781,-0.627459,True,3.125022,ixic
1998-09-30,1693.840000,24734.828850,0.020958,False,2.000000,bond2x_pos
1998-10-30,1771.390000,25253.214069,0.020958,False,2.000000,bond2x_pos
1998-11-30,1949.540000,32413.085823,0.283523,True,2.861826,ixic
1998-12-31,2192.690000,49939.478839,0.540720,True,4.388184,ixic
1999-01-29,2505.890000,81702.092046,0.636022,True,4.500000,ixic
1999-02-26,2288.030000,49186.598129,-0.397976,True,4.500000,ixic
1999-03-31,2461.400000,56493.031960,0.148545,True,2.000000,ixic
1999-04-30,2542.860000,60062.825135,0.063190,True,2.000000,ixic
1999-05-28,2470.520000,51968.322049,-0.134767,True,4.500000,ixic
1999-06-30,2686.120000,69380.487588,0.335053,True,3.906460,ixic
1999-07-30,2638.490000,66608.285737,-0.039957,True,2.077617,ixic
1999-08-31,2739.350000,72209.437359,0.084091,True,2.289658,ixic
1999-09-30,2746.160000,72515.328123,0.004236,True,4.296347,ixic
1999-10-29,2966.430000,98199.954942,0.354196,True,4.500000,ixic
1999-11-30,3336.160000,135603.364847,0.380890,True,3.093198,ixic
1999-12-31,4069.310000,268788.094655,0.982164,True,4.500000,ixic
2000-01-31,3940.350000,246239.575131,-0.083890,True,2.527489,ixic
2000-02-29,4696.690000,340030.956653,0.380895,True,2.000000,ixic
2000-03-31,4572.830000,321076.431538,-0.055744,True,2.000000,ixic
2000-04-28,3860.660000,220104.672625,-0.314479,True,2.000000,ixic
2000-05-31,3400.910000,227240.009998,0.032418,False,2.000000,bond2x_pos
2000-06-30,3966.110000,234606.660224,0.032418,False,4.500000,bond2x_pos
2000-07-31,3766.990000,242212.121983,0.032418,False,2.000000,bond2x_pos
2000-08-31,4206.350000,297985.937126,0.230268,True,2.000000,ixic
2000-09-29,3672.820000,221499.393327,-0.256678,True,2.000000,ixic
2000-10-31,3369.630000,228679.944656,0.032418,False,2.000000,bond2x_pos
2000-11-30,2597.930000,236093.274579,0.032418,False,4.500000,bond2x_pos
2000-12-29,2470.520000,243746.929295,0.032418,False,2.000000,bond2x_pos
2001-01-31,2772.730000,245099.110405,0.005547,False,2.000000,bond2x_pos
2001-02-28,2151.830000,246458.792711,0.005547,False,2.000000,bond2x_pos
2001-03-30,1840.260000,247826.017827,0.005547,False,2.000000,bond2x_pos
2001-04-30,2116.240000,249200.827596,0.005547,False,3.037942,bond2x_pos
2001-05-31,2110.500000,250583.264095,0.005547,False,2.000000,bond2x_pos
2001-06-29,2160.540000,251973.369631,0.005547,False,2.000000,bond2x_pos
2001-07-31,2027.120000,253371.186750,0.005547,False,4.500000,bond2x_pos
2001-08-31,1805.430000,254776.758231,0.005547,False,2.813101,bond2x_pos
2001-09-28,1498.800000,256190.127091,0.005547,False,4.500000,bond2x_pos
2001-10-31,1690.200000,257611.336585,0.005547,False,3.975426,bond2x_pos
2001-11-30,1930.580000,259040.430211,0.005547,False,2.000000,bond2x_pos
2001-12-31,1950.400000,260477.451704,0.005547,False,4.500000,bond2x_pos
2002-01-31,1934.060000,267077.747747,0.025339,False,2.000000,bond2x_pos
2002-02-28,1731.490000,273845.290158,0.025339,False,4.500000,bond2x_pos
2002-03-29,1858.250000,280784.316831,0.025339,False,2.494969,bond2x_pos
2002-04-30,1688.230000,287899.173044,0.025339,False,2.000000,bond2x_pos
2002-05-31,1615.730000,295194.314179,0.025339,False,2.000000,bond2x_pos
2002-06-28,1463.210000,302674.308516,0.025339,False,4.500000,bond2x_pos
2002-07-31,1328.260000,310343.840093,0.025339,False,4.500000,bond2x_pos
2002-08-30,1314.850000,318207.711635,0.025339,False,4.500000,bond2x_pos
2002-09-30,1172.060000,326270.847566,0.025339,False,2.927165,bond2x_pos
2002-10-31,1329.750000,334538.297090,0.025339,False,2.440725,bond2x_pos
2002-11-29,1478.780000,343015.237356,0.025339,False,2.000000,bond2x_pos
2002-12-31,1335.510000,351706.976695,0.025339,False,4.500000,bond2x_pos
2003-01-31,1320.910000,352517.015051,0.002303,False,2.000000,bond2x_pos
2003-02-28,1337.520000,353328.919057,0.002303,False,2.797107,bond2x_pos
2003-03-31,1341.170000,354142.693011,0.002303,False,4.500000,bond2x_pos
2003-04-30,1464.310000,354958.341218,0.002303,False,4.500000,bond2x_pos
2003-05-30,1595.910000,355775.867995,0.002303,False,2.698686,bond2x_pos
2003-06-30,1622.800000,356595.277669,0.002303,False,4.500000,bond2x_pos
2003-07-31,1735.020000,436021.666817,0.222735,True,3.292366,ixic
2003-08-29,1810.450000,518380.715628,0.188888,True,4.500000,ixic
2003-09-30,1786.940000,484589.680921,-0.065186,True,4.500000,ixic
2003-10-31,1932.210000,649242.617472,0.339778,True,4.258116,ixic
2003-11-28,1960.260000,670793.197480,0.033193,True,2.549994,ixic
2003-12-31,2003.370000,720281.307269,0.073776,True,3.600214,ixic
2004-01-30,2066.150000,816991.595369,0.134267,True,4.500000,ixic
2004-02-27,2029.820000,746832.093655,-0.085875,True,4.500000,ixic
2004-03-31,1994.220000,682848.557792,-0.085673,True,4.500000,ixic
2004-04-30,1920.150000,564107.655968,-0.173891,True,4.500000,ixic
2004-05-28,1986.740000,648333.509818,0.149308,True,4.500000,ixic
2004-06-30,2047.790000,711766.520252,0.097840,True,3.347394,ixic
2004-07-30,1887.360000,456033.454730,-0.359293,True,4.500000,ixic
2004-08-31,1838.100000,428290.244015,-0.060836,True,2.204204,ixic
2004-09-30,1896.840000,486990.036296,0.137056,True,4.500000,ixic
2004-10-29,1974.990000,567051.229234,0.164400,True,4.141049,ixic
2004-11-30,2096.810000,720617.753587,0.270816,True,4.500000,ixic
2004-12-31,2175.440000,837357.249719,0.161999,True,4.500000,ixic
2005-01-31,2062.410000,635924.370492,-0.240558,True,4.500000,ixic
2005-02-28,2051.720000,624502.359518,-0.017961,True,2.687503,ixic
2005-03-31,1999.230000,630939.911430,0.010308,False,4.500000,bond2x_pos
2005-04-29,1921.650000,637443.823498,0.010308,False,4.500000,bond2x_pos
2005-05-31,2068.220000,644014.779784,0.010308,False,4.500000,bond2x_pos
2005-06-30,2056.960000,634671.575102,-0.014508,True,2.089161,ixic
2005-07-29,2184.830000,747946.561599,0.178478,True,2.942049,ixic
2005-08-31,2152.090000,704101.186592,-0.058621,True,3.555989,ixic
2005-09-30,2151.690000,700402.157419,-0.005254,True,3.116231,ixic
2005-10-31,2120.300000,649694.163752,-0.072398,True,4.500000,ixic
2005-11-30,2232.820000,800459.481754,0.232056,True,4.500000,ixic
2005-12-30,2205.320000,761160.219868,-0.049096,True,3.553484,ixic
2006-01-31,2305.820000,884506.486362,0.162050,True,3.676977,ixic
2006-02-28,2281.380000,840060.114297,-0.050250,True,4.153137,ixic
2006-03-31,2339.790000,926722.924417,0.103163,True,4.280088,ixic
2006-04-28,2322.570000,889776.004235,-0.039868,True,4.500000,ixic
2006-05-31,2178.870000,636038.557891,-0.285170,True,4.500000,ixic
2006-06-30,2172.090000,623101.936647,-0.020339,True,4.410379,ixic
2006-07-31,2091.470000,524651.753855,-0.158000,True,4.091537,ixic
2006-08-31,2183.750000,625279.616952,0.191799,True,4.500000,ixic
2006-09-29,2258.420000,625691.723884,0.000659,False,2.959392,bond2x_pos
2006-10-31,2366.710000,756475.391785,0.209023,True,4.500000,ixic
2006-11-30,2431.770000,844947.737278,0.116953,True,4.500000,ixic
2006-12-29,2415.290000,813476.556010,-0.037246,True,4.500000,ixic
2007-01-31,2463.920000,881689.840976,0.083854,True,4.500000,ixic
2007-02-28,2416.140000,798799.194352,-0.094013,True,4.500000,ixic
2007-03-30,2421.630000,801575.011138,0.003475,True,4.500000,ixic
2007-04-30,2525.090000,950271.026136,0.185505,True,4.500000,ixic
2007-05-31,2604.520000,1078370.763229,0.134803,True,4.500000,ixic
2007-06-29,2603.230000,1068688.268847,-0.008979,True,4.500000,ixic
2007-07-31,2546.270000,956249.123530,-0.105212,True,4.500000,ixic
2007-08-31,2596.360000,1034445.061750,0.081774,True,4.500000,ixic
2007-09-28,2701.500000,1215967.615459,0.175478,True,4.500000,ixic
2007-10-31,2859.120000,1527017.161454,0.255804,True,4.500000,ixic
2007-11-30,2660.960000,1040454.254324,-0.318636,True,4.500000,ixic
2007-12-31,2652.280000,1030545.008296,-0.009524,True,2.000000,ixic
2008-01-31,2389.860000,653757.709507,-0.365619,True,3.640131,ixic
2008-02-29,2271.480000,678529.853437,0.037892,False,2.512730,bond2x_pos
2008-03-31,2279.100000,704240.661808,0.037892,False,4.500000,bond2x_pos
2008-04-30,2412.800000,730925.702430,0.037892,False,4.500000,bond2x_pos
2008-05-30,2522.650000,758621.890849,0.037892,False,4.346795,bond2x_pos
