date,close,portfolio,monthly_return,signal_prev_month,leverage_prev_month,out_mode
1995-01-31,755.200000,10000.000000,,,,
1995-02-28,793.730000,10445.146941,0.044515,False,2.000000,bond2x_pos
1995-03-31,817.210000,10910.109462,0.044515,False,2.000000,bond2x_pos
1995-04-28,843.980000,11395.769648,0.044515,False,4.500000,bond2x_pos
1995-05-31,864.580000,11903.048848,0.044515,False,4.500000,bond2x_pos
1995-06-30,933.450000,12432.909427,0.044515,False,4.500000,bond2x_pos
1995-07-31,1001.210000,12986.356587,0.044515,False,3.839562,bond2x_pos
1995-08-31,1020.110000,13564.440278,0.044515,False,4.500000,bond2x_pos
1995-09-29,1043.540000,14168.257188,0.044515,False,3.949305,bond2x_pos
1995-10-31,1036.060000,14798.952823,0.044515,False,4.500000,bond2x_pos
1995-11-30,1059.200000,15457.723681,0.044515,False,4.500000,bond2x_pos
1995-12-29,1052.130000,16145.819523,0.044515,False,4.500000,bond2x_pos
1996-01-31,1059.790000,16145.819523,0.000000,False,4.500000,cash
1996-02-29,1100.050000,16145.819523,0.000000,False,4.500000,cash
1996-03-29,1101.400000,16126.000146,-0.001228,True,4.500000,ixic
1996-04-30,1190.520000,21888.922932,0.357368,True,4.500000,ixic
1996-05-31,1243.430000,24391.156350,0.114315,True,2.662033,ixic
1996-06-28,1185.020000,19070.541450,-0.218137,True,4.500000,ixic
1996-07-31,1080.590000,15104.394630,-0.207972,True,2.320471,ixic
1996-08-30,1141.500000,18833.716441,0.246903,True,4.500000,ixic
1996-09-30,1226.920000,21595.920607,0.146663,True,2.000000,ixic
1996-10-31,1221.510000,21021.633906,-0.026592,True,4.500000,ixic
1996-11-29,1292.610000,24212.862806,0.151807,True,2.677056,ixic
1996-12-31,1291.030000,23989.552937,-0.009223,True,3.387821,ixic
1997-01-31,1379.850000,29752.317689,0.240220,True,3.569505,ixic
1997-02-28,1309.000000,24988.910765,-0.160102,True,3.029587,ixic
1997-03-31,1221.700000,21580.816592,-0.136384,True,2.000000,ixic
1997-04-30,1260.760000,24540.049193,0.137123,True,4.500000,ixic
1997-05-30,1400.320000,30301.427284,0.234775,True,2.150046,ixic
1997-06-30,1442.070000,32613.368185,0.076298,True,2.694654,ixic
1997-07-31,1593.810000,41485.666461,0.272045,True,2.622783,ixic
1997-08-29,1587.320000,40835.399333,-0.015675,True,2.813082,ixic
1997-09-30,1685.690000,45774.226996,0.120945,True,2.000000,ixic
1997-10-31,1593.610000,37522.516464,-0.180270,True,3.211962,ixic
1997-11-28,1600.550000,37736.761955,0.005710,True,2.000000,ixic
1997-12-31,1570.350000,34972.177740,-0.073260,True,3.596714,ixic
1998-01-30,1619.360000,39647.720558,0.133693,True,4.500000,ixic
1998-02-27,1770.510000,55072.013456,0.389034,True,4.236023,ixic
1998-03-31,1835.680000,61711.250971,0.120556,True,3.414340,ixic
1998-04-30,1868.410000,65492.798722,0.061278,True,3.752508,ixic
1998-05-29,1778.870000,50926.941475,-0.222404,True,4.500000,ixic
1998-06-30,1894.740000,61382.493375,0.205305,True,3.226195,ixic
1998-07-31,1872.390000,59750.232985,-0.026592,True,2.000000,ixic
1998-08-31,1499.250000,26670.103935,-0.553640,True,2.757373,ixic
1998-09-30,1693.840000,27229.048077,0.020958,False,2.000000,bond2x_pos
1998-10-30,1771.390000,27799.706404,0.020958,False,2.000000,bond2x_pos
1998-11-30,1949.540000,34754.289972,0.250168,True,2.525140,ixic
1998-12-31,2192.690000,51335.755985,0.477106,True,3.871927,ixic
1999-01-29,2505.890000,83986.432343,0.636022,True,4.500000,ixic
1999-02-26,2288.030000,50561.825192,-0.397976,True,4.500000,ixic
1999-03-31,2461.400000,58072.542424,0.148545,True,2.000000,ixic
1999-04-30,2542.860000,61742.144823,0.063190,True,2.000000,ixic
1999-05-28,2470.520000,53421.324405,-0.134767,True,4.500000,ixic
1999-06-30,2686.120000,69214.558807,0.295635,True,3.446876,ixic
1999-07-30,2638.490000,66552.304438,-0.038464,True,2.000000,ixic
1999-08-31,2739.350000,71490.343353,0.074198,True,2.020286,ixic
1999-09-30,2746.160000,71757.559147,0.003738,True,3.790895,ixic
1999-10-29,2966.430000,97173.787354,0.354196,True,4.500000,ixic
1999-11-30,3336.160000,129831.922027,0.336080,True,2.729292,ixic
1999-12-31,4069.310000,257348.149040,0.982164,True,4.500000,ixic
2000-01-31,3940.350000,238299.183752,-0.074020,True,2.230137,ixic
2000-02-29,4696.690000,329066.111236,0.380895,True,2.000000,ixic
2000-03-31,4572.830000,310722.805287,-0.055744,True,2.000000,ixic
2000-04-28,3860.660000,213007.043236,-0.314479,True,2.000000,ixic
2000-05-31,3400.910000,219912.290173,0.032418,False,2.000000,bond2x_pos
2000-06-30,3966.110000,227041.390906,0.032418,False,4.500000,bond2x_pos
2000-07-31,3766.990000,234401.602312,0.032418,False,2.000000,bond2x_pos
2000-08-31,4206.350000,288376.901028,0.230268,True,2.000000,ixic
2000-09-29,3672.820000,214356.788925,-0.256678,True,2.000000,ixic
2000-10-31,3369.630000,221305.791820,0.032418,False,2.000000,bond2x_pos
2000-11-30,2597.930000,228480.066989,0.032418,False,4.500000,bond2x_pos
2000-12-29,2470.520000,235886.917292,0.032418,False,2.000000,bond2x_pos
2001-01-31,2772.730000,237195.495146,0.005547,False,2.000000,bond2x_pos
2001-02-28,2151.830000,238511.332308,0.005547,False,2.000000,bond2x_pos
2001-03-30,1840.260000,239834.469050,0.005547,False,2.000000,bond2x_pos
2001-04-30,2116.240000,241164.945865,0.005547,False,2.680537,bond2x_pos
2001-05-31,2110.500000,242502.803474,0.005547,False,2.000000,bond2x_pos
2001-06-29,2160.540000,243848.082821,0.005547,False,2.000000,bond2x_pos
2001-07-31,2027.120000,245200.825077,0.005547,False,4.500000,bond2x_pos
2001-08-31,1805.430000,246561.071643,0.005547,False,2.482148,bond2x_pos
2001-09-28,1498.800000,247928.864150,0.005547,False,4.455716,bond2x_pos
2001-10-31,1690.200000,249304.244457,0.005547,False,3.507729,bond2x_pos
2001-11-30,1930.580000,250687.254658,0.005547,False,2.000000,bond2x_pos
2001-12-31,1950.400000,252077.937081,0.005547,False,4.500000,bond2x_pos
2002-01-31,1934.060000,258465.395956,0.025339,False,2.000000,bond2x_pos
2002-02-28,1731.490000,265014.708071,0.025339,False,4.500000,bond2x_pos
2002-03-29,1858.250000,271729.974662,0.025339,False,2.201443,bond2x_pos
2002-04-30,1688.230000,278615.400886,0.025339,False,2.000000,bond2x_pos
2002-05-31,1615.730000,285675.298455,0.025339,False,2.000000,bond2x_pos
2002-06-28,1463.210000,292914.088337,0.025339,False,4.369325,bond2x_pos
2002-07-31,1328.260000,300336.303525,0.025339,False,4.122865,bond2x_pos
2002-08-30,1314.850000,307946.591874,0.025339,False,4.500000,bond2x_pos
2002-09-30,1172.060000,315749.719011,0.025339,False,2.582793,bond2x_pos
2002-10-31,1329.750000,323750.571320,0.025339,False,2.153580,bond2x_pos
2002-11-29,1478.780000,331954.159005,0.025339,False,2.000000,bond2x_pos
2002-12-31,1335.510000,340365.619221,0.025339,False,4.500000,bond2x_pos
2003-01-31,1320.910000,341149.536587,0.002303,False,2.000000,bond2x_pos
2003-02-28,1337.520000,341935.259441,0.002303,False,2.468036,bond2x_pos
2003-03-31,1341.170000,342722.791944,0.002303,False,4.500000,bond2x_pos
2003-04-30,1464.310000,343512.138262,0.002303,False,4.500000,bond2x_pos
2003-05-30,1595.910000,344303.302573,0.002303,False,2.381194,bond2x_pos
2003-06-30,1622.800000,345096.289064,0.002303,False,4.500000,bond2x_pos
2003-07-31,1735.020000,412918.486775,0.196531,True,2.905029,ixic
2003-08-29,1810.450000,483215.471989,0.170244,True,4.055848,ixic
2003-09-30,1786.940000,451716.709993,-0.065186,True,4.500000,ixic
2003-10-31,1932.210000,587143.259356,0.299804,True,3.757161,ixic
2003-11-28,1960.260000,604339.691891,0.029288,True,2.249995,ixic
2003-12-31,2003.370000,643679.811217,0.065096,True,3.176659,ixic
2004-01-30,2066.150000,730105.016700,0.134267,True,4.500000,ixic
2004-02-27,2029.820000,667406.936988,-0.085875,True,4.500000,ixic
2004-03-31,1994.220000,612308.696920,-0.082556,True,4.336249,ixic
2004-04-30,1920.150000,505834.009324,-0.173891,True,4.500000,ixic
2004-05-28,1986.740000,581359.134520,0.149308,True,4.500000,ixic
2004-06-30,2047.790000,631547.573968,0.086329,True,2.953583,ixic
2004-07-30,1887.360000,404636.652313,-0.359293,True,4.500000,ixic
2004-08-31,1838.100000,382300.750268,-0.055200,True,2.000000,ixic
2004-09-30,1896.840000,429579.805983,0.123670,True,4.060484,ixic
2004-10-29,1974.990000,491894.171357,0.145059,True,3.653867,ixic
2004-11-30,2096.810000,625106.964753,0.270816,True,4.500000,ixic
2004-12-31,2175.440000,726373.789960,0.161999,True,4.500000,ixic
2005-01-31,2062.410000,551638.855790,-0.240558,True,4.500000,ixic
2005-02-28,2051.720000,542896.382966,-0.015848,True,2.371326,ixic
2005-03-31,1999.230000,548492.716742,0.010308,False,4.500000,bond2x_pos
2005-04-29,1921.650000,554146.739154,0.010308,False,4.500000,bond2x_pos
2005-05-31,2068.220000,559859.044873,0.010308,False,4.500000,bond2x_pos
2005-06-30,2056.960000,552083.392035,-0.013889,True,2.000000,ixic
2005-07-29,2184.830000,639025.865487,0.157481,True,2.595926,ixic
2005-08-31,2152.090000,605972.628780,-0.051724,True,3.137637,ixic
2005-09-30,2151.690000,603163.652797,-0.004635,True,2.749616,ixic
2005-10-31,2120.300000,559495.571021,-0.072398,True,4.500000,ixic
2005-11-30,2232.820000,689329.779780,0.232056,True,4.500000,ixic
2005-12-30,2205.320000,659468.087296,-0.043320,True,3.135427,ixic
2006-01-31,2305.820000,753762.519027,0.142986,True,3.244392,ixic
2006-02-28,2281.380000,720342.078411,-0.044338,True,3.664533,ixic
2006-03-31,2339.790000,785911.827913,0.091026,True,3.776548,ixic
2006-04-28,2322.570000,754578.814764,-0.039868,True,4.500000,ixic
2006-05-31,2178.870000,539395.554469,-0.285170,True,4.500000,ixic
2006-06-30,2172.090000,529715.292300,-0.017946,True,3.891511,ixic
2006-07-31,2091.470000,455866.690999,-0.139412,True,3.610180,ixic
2006-08-31,2183.750000,543301.624048,0.191799,True,4.500000,ixic
2006-09-29,2258.420000,543659.701233,0.000659,False,2.611229,bond2x_pos
2006-10-31,2366.710000,657296.828117,0.209023,True,4.500000,ixic
2006-11-30,2431.770000,734169.906475,0.116953,True,4.500000,ixic
2006-12-29,2415.290000,706824.790099,-0.037246,True,4.500000,ixic
2007-01-31,2463.920000,766094.895023,0.083854,True,4.500000,ixic
2007-02-28,2416.140000,694071.720576,-0.094013,True,4.500000,ixic
2007-03-30,2421.630000,696483.610757,0.003475,True,4.500000,ixic
2007-04-30,2525.090000,825684.666169,0.185505,True,4.500000,ixic
2007-05-31,2604.520000,936989.742035,0.134803,True,4.500000,ixic
2007-06-29,2603.230000,928576.682054,-0.008979,True,4.500000,ixic
2007-07-31,2546.270000,830878.998327,-0.105212,True,4.500000,ixic
2007-08-31,2596.360000,898822.969436,0.081774,True,4.500000,ixic
2007-09-28,2701.500000,1056546.802994,0.175478,True,4.500000,ixic
2007-10-31,2859.120000,1326815.845702,0.255804,True,4.500000,ixic
2007-11-30,2660.960000,904044.320007,-0.318636,True,4.500000,ixic
2007-12-31,2652.280000,895434.236910,-0.009524,True,2.000000,ixic
2008-01-31,2389.860000,606562.319636,-0.322605,True,3.211880,ixic
2008-02-29,2271.480000,629546.138972,0.037892,False,2.217115,bond2x_pos
2008-03-31,2279.100000,653400.859671,0.037892,False,4.293562,bond2x_pos
2008-04-30,2412.800000,678159.481870,0.037892,False,4.010897,bond2x_pos
2008-05-30,2522.650000,703856.256146,0.037892,False,3.835407,bond2x_pos
