date,close,portfolio,monthly_return,signal_prev_month,leverage_prev_month,out_mode
1995-01-31,755.200000,10000.000000,,,,
1995-02-28,793.730000,10445.146941,0.044515,False,1.500000,bond2x_pos
1995-03-31,817.210000,10910.109462,0.044515,False,1.500000,bond2x_pos
1995-04-28,843.980000,11395.769648,0.044515,False,4.500000,bond2x_pos
1995-05-31,864.580000,11903.048848,0.044515,False,4.500000,bond2x_pos
1995-06-30,933.450000,12432.909427,0.044515,False,4.500000,bond2x_pos
1995-07-31,1001.210000,12986.356587,0.044515,False,4.095533,bond2x_pos
1995-08-31,1020.110000,13564.440278,0.044515,False,4.500000,bond2x_pos
1995-09-29,1043.540000,14168.257188,0.044515,False,4.212592,bond2x_pos
1995-10-31,1036.060000,14798.952823,0.044515,False,4.500000,bond2x_pos
1995-11-30,1059.200000,15457.723681,0.044515,False,4.500000,bond2x_pos
1995-12-29,1052.130000,16145.819523,0.044515,False,4.500000,bond2x_pos
1996-01-31,1059.790000,16145.819523,0.000000,False,4.500000,cash
1996-02-29,1100.050000,16145.819523,0.000000,False,4.500000,cash
1996-03-29,1101.400000,16126.000146,-0.001228,True,4.500000,ixic
1996-04-30,1190.520000,21888.922932,0.357368,True,4.500000,ixic
1996-05-31,1243.430000,24557.971912,0.121936,True,2.839502,ixic
1996-06-28,1185.020000,19200.968356,-0.218137,True,4.500000,ixic
1996-07-31,1080.590000,14941.478202,-0.221837,True,2.475169,ixic
1996-08-30,1141.500000,18630.575442,0.246903,True,4.500000,ixic
1996-09-30,1226.920000,20770.043703,0.114836,True,1.565993,ixic
1996-10-31,1221.510000,20217.719026,-0.026592,True,4.500000,ixic
1996-11-29,1292.610000,23491.520712,0.161927,True,2.855527,ixic
1996-12-31,1291.030000,23260.419815,-0.009838,True,3.613676,ixic
1997-01-31,1379.850000,29220.539884,0.256234,True,3.807472,ixic
1997-02-28,1309.000000,24230.387128,-0.170776,True,3.231560,ixic
1997-03-31,1221.700000,21118.472175,-0.128430,True,1.883359,ixic
1997-04-30,1260.760000,24014.306587,0.137123,True,4.500000,ixic
1997-05-30,1400.320000,30028.116856,0.250426,True,2.293382,ixic
1997-06-30,1442.070000,32471.943885,0.081385,True,2.874298,ixic
1997-07-31,1593.810000,41894.690045,0.290181,True,2.797635,ixic
1997-08-29,1587.320000,41194.233118,-0.016719,True,3.000620,ixic
1997-09-30,1685.690000,46351.566663,0.125196,True,2.070293,ixic
1997-10-31,1593.610000,37438.726732,-0.192288,True,3.426092,ixic
1997-11-28,1600.550000,37646.150632,0.005540,True,1.940653,ixic
1997-12-31,1570.350000,34704.341506,-0.078144,True,3.836494,ixic
1998-01-30,1619.360000,39344.076437,0.133693,True,4.500000,ixic
1998-02-27,1770.510000,55604.080192,0.413277,True,4.500000,ixic
1998-03-31,1835.680000,62754.353386,0.128593,True,3.641962,ixic
1998-04-30,1868.410000,66856.184935,0.065363,True,4.002675,ixic
1998-05-29,1778.870000,51987.105206,-0.222404,True,4.500000,ixic
1998-06-30,1894.740000,63371.861190,0.218992,True,3.441275,ixic
1998-07-31,1872.390000,61685.550678,-0.026610,True,2.001364,ixic
1998-08-31,1499.250000,25257.178771,-0.590550,True,2.941197,ixic
1998-09-30,1693.840000,25786.511245,0.020958,False,1.500000,bond2x_pos
1998-10-30,1771.390000,26326.937312,0.020958,False,1.500000,bond2x_pos
1998-11-30,1949.540000,33352.158197,0.266845,True,2.693483,ixic
1998-12-31,2192.690000,50325.492709,0.508913,True,4.130056,ixic
1999-01-29,2505.890000,82333.619276,0.636022,True,4.500000,ixic
1999-02-26,2288.030000,49566.792506,-0.397976,True,4.500000,ixic
1999-03-31,2461.400000,55088.974922,0.111409,True,1.500000,ixic
1999-04-30,2542.860000,57699.778058,0.047392,True,1.500000,ixic
1999-05-28,2470.520000,49923.736380,-0.134767,True,4.500000,ixic
1999-06-30,2686.120000,65666.908200,0.315344,True,3.676668,ixic
1999-07-30,2638.490000,63197.430370,-0.037606,True,1.955404,ixic
1999-08-31,2739.350000,68199.152419,0.079144,True,2.154972,ixic
1999-09-30,2746.160000,68471.060705,0.003987,True,4.043621,ixic
1999-10-29,2966.430000,92723.224869,0.354196,True,4.500000,ixic
1999-11-30,3336.160000,125963.108696,0.358485,True,2.911245,ixic
1999-12-31,4069.310000,249679.526917,0.982164,True,4.500000,ixic
